Jordan Red Crescent,JNRCS,NGO,Jordan Red Crescent (JNRCS)
"Jordanian Hashemite Fund 
For Human Development",Johud,NGO,"Jordanian Hashemite Fund 
For Human Development (Johud)"
Jordanian Psychological Association,JPAJO,NGO,Jordanian Psychological Association (JPAJO)
Jordan River Foundation,JRF,NGO,Jordan River Foundation (JRF)
Jordan Response Platform to the Syria Crisis,JRPSC,NGO,Jordan Response Platform to the Syria Crisis (JRPSC)
Jesuit Refugee Service,JRS,Other,Jesuit Refugee Service (JRS)
King Hussein Foundation / Nour Al Hussein Foundation,KHF/NHF,NGO,King Hussein Foundation / Nour Al Hussein Foundation (KHF/NHF)
Kvinna till Kvinna,KTK,INGO,Kvinna till Kvinna (KTK)
Kuwait Embassy,Kuwait Embassy,Donor,Kuwait Embassy (Kuwait Embassy)
Le Monde,Le Monde,INGO,Le Monde (Le Monde)
Lebanese Embassy,Lebanese Embassy,Donor,Lebanese Embassy (Lebanese Embassy)
Lutheran World Federation - World Service,LWF,INGO,Lutheran World Federation - World Service (LWF)
Muslim Aid,MA,INGO,Muslim Aid (MA)
Madrasati Initiative,Madrasati,Other,Madrasati Initiative (Madrasati)
Mdecins du Monde,MdM,INGO,Mdecins du Monde (MdM)
Medair,MEDIAR,INGO,Medair (MEDIAR)
Ministry of Energy and Mineral Resources ,MEMR,Government,Ministry of Energy and Mineral Resources  (MEMR)
Mercy Corps,MercyCorps,INGO,Mercy Corps (MercyCorps)
Minister of State,Minister of State,Government,Minister of State (Minister of State)
Ministry of Awqaf Islamic Affairs and Holy Places ,Ministry of Awqaf,Government,Ministry of Awqaf Islamic Affairs and Holy Places  (Ministry of Awqaf)
Minister of State for Media Affairs,Ministry of Media,Government,Minister of State for Media Affairs (Ministry of Media)
Ministry of Industry and Trade,MIT,Government,Ministry of Industry and Trade (MIT)
Mizan for Law,Mizan Law,NGO,Mizan for Law (Mizan Law)
Ministry of Agriculture ,MOA,Government,Ministry of Agriculture  (MOA)
Ministry of Culture ,MOC,Government,Ministry of Culture  (MOC)
Ministry of Education,MOE,Government,Ministry of Education (MOE)
Ministry of Education - Jordan,MoE Jordan,Government,Ministry of Education - Jordan (MoE Jordan)
Ministry of Environment ,MOENV,Government,Ministry of Environment  (MOENV)
Ministry of Finance ,MOF,Government,Ministry of Finance  (MOF)
Ministry of Foreign Affairs,MOFA,Government,Ministry of Foreign Affairs (MOFA)
Ministry of Health,MOH,Government,Ministry of Health (MOH)
Ministry of Health - Jordan,MoH Jordan,Government,Ministry of Health - Jordan (MoH Jordan)
Ministry of Higher Education and Scientific Research ,MoHE,Government,Ministry of Higher Education and Scientific Research  (MoHE)
Ministry of Interior,MOI,Government,Ministry of Interior (MOI)
Ministry of Information and Communications Technology ,MoICT,Government,Ministry of Information and Communications Technology  (MoICT)
Ministry of Justice ,MOJ,Government,Ministry of Justice  (MOJ)
Ministry of Labor,MOL,Government,Ministry of Labor (MOL)
Ministry of Labor AND Ministry of Tourism and Antiquities ,MOL/MOTA,Government,Ministry of Labor AND Ministry of Tourism and Antiquities  (MOL/MOTA)
Ministry of Municipal Affairs ,MOMA,Government,Ministry of Municipal Affairs  (MOMA)
Ministry of Planning and International Cooperation ,MoPIC,Government,Ministry of Planning and International Cooperation  (MoPIC)
Ministry of Political and Parliament Affairs ,MoPPA,Government,Ministry of Political and Parliament Affairs  (MoPPA)
Ministry of Public Sector Development ,MoPSD,Government,Ministry of Public Sector Development  (MoPSD)
Ministry of Public Works and Housing ,MOPW,Government,Ministry of Public Works and Housing  (MOPW)
Ministry of Social Development ,MOSD,Government,Ministry of Social Development  (MOSD)
Ministry of Transport ,MOT,Government,Ministry of Transport  (MOT)
Ministry of Tourism and Antiquities ,MOTA,Government,Ministry of Tourism and Antiquities  (MOTA)
Ministry of Water and Irrigation ,MOWI,Government,Ministry of Water and Irrigation  (MOWI)
Mdecins Sans Frontires - France,MSF - F,INGO,Mdecins Sans Frontires - France (MSF - F)
Mdecins Sans Frontires - Holland,MSF - H,INGO,Mdecins Sans Frontires - Holland (MSF - H)
Mdecins Sans Frontires - Spain,MSF - S,INGO,Mdecins Sans Frontires - Spain (MSF - S)
Near East Foundation,NEF,INGO,Near East Foundation (NEF)
Noor Al Hussein Foundation,NHF,NGO,Noor Al Hussein Foundation (NHF)
Royal Norwegian Embassy,Norwegian Embassy,Donor,Royal Norwegian Embassy (Norwegian Embassy)
Norwegian Refugee Council,NRC,INGO,Norwegian Refugee Council (NRC)
Office of U.S. Foreign Disaster Assistance,OFDA,Donor,Office of U.S. Foreign Disaster Assistance (OFDA)
